,Popularity,Score
369,1762,7.33
370,4348,7.32
371,9458,7.34
372,4880,7.32
373,9395,7.34
374,844,7.34
375,6445,7.33
376,2017,7.32
377,1960,7.32
378,5644,7.32
379,7570,7.32
380,571,7.32
381,8482,7.33
382,206,7.34
383,9328,7.33
384,4897,7.33
385,956,7.33
386,1524,7.33
387,7610,7.33
388,3859,7.33
389,2186,7.32
390,4394,7.32
391,1395,7.31
392,1185,7.31
393,879,7.3
394,1607,7.3
395,3835,7.3
396,2735,7.31
397,4778,7.33
398,4129,7.31
399,2412,7.3
400,1446,7.29
401,2731,7.29
402,1522,7.29
403,8388,7.33
404,7631,7.29
405,4014,7.33
406,3167,7.28
407,4843,7.29
408,1789,7.27
409,7783,7.29
410,5195,7.27
411,3649,7.27
412,2698,7.26
413,398,7.26
414,608,7.27
415,1939,7.26
416,4644,7.26
417,421,7.26
418,2513,7.27
419,2885,7.27
420,9666,7.27
421,3458,7.27
422,4233,7.26
423,1188,7.27
424,211,7.26
425,5608,7.26
426,2515,7.26
427,5448,7.26
428,4691,7.26
429,5079,7.24
430,3327,7.24
431,8363,7.27
432,862,7.32
433,4939,7.23
434,4315,7.23
435,897,7.27
436,152,7.23
437,4438,7.27
438,5863,7.23
439,5267,7.22
440,1743,7.22
441,9069,7.24
442,6439,7.22
443,1035,7.22
444,5471,7.22
445,81,7.26
446,582,7.22
447,1609,7.22
448,5708,7.22
449,6545,7.22
450,8547,7.24
451,3696,7.21
452,901,7.21
453,5345,7.21
454,4687,7.21
455,2432,7.22
456,4852,7.22
457,4578,7.19
458,6275,7.22
459,5424,7.19
460,4443,7.21
461,7272,7.19
462,1017,7.21
463,2534,7.18
464,2199,7.19
465,754,7.18
466,3063,7.18
467,2082,7.18
468,2203,7.18
469,3498,7.22
470,3720,7.18
471,9228,7.18
472,3715,7.19
473,3044,7.19
474,10944,7.19
475,1621,7.19
476,1782,7.19
477,8886,7.19
478,1700,7.18
479,10130,7.17
480,8105,7.17
481,1815,7.17
482,2393,7.21
483,1868,7.17
484,3116,7.17
485,2221,7.18
486,4797,7.17
487,1999,7.18
488,951,7.18
489,7053,7.18
490,2714,7.18
491,7331,7.18
492,612,7.18
493,3830,7.17
494,944,7.17
495,5327,7.18
496,1018,7.18
497,1234,7.18
498,6986,7.18
499,431,7.18
500,3228,7.19
501,10472,7.18
502,2922,7.18
503,5199,7.19
504,7368,7.18
505,427,7.18
506,4788,7.18
507,1077,7.18
508,583,7.18
509,4291,7.18
510,1990,7.18
511,1588,7.18
512,4431,7.18
513,7616,7.18
514,2109,7.18
515,13144,7.18
516,6504,7.18
517,2030,7.18
518,3171,7.18
519,4352,7.18
520,6560,7.18
521,6622,7.18
522,6896,7.18
523,7558,7.18
524,2785,7.18
525,1876,7.18
526,2445,7.16
527,651,7.18
528,1930,7.16
529,994,7.15
530,4150,7.18
531,2440,7.16
532,2748,7.18
533,4182,7.16
534,7563,7.16
535,3323,7.16
536,1411,7.16
537,347,7.16
538,4437,7.16
539,4157,7.16
540,7561,7.16
541,990,7.16
542,3846,7.16
543,2392,7.16
544,4206,7.17
545,2177,7.16
546,3052,7.15
547,9953,7.16
548,10123,7.15
549,3470,7.15
550,4189,7.15
551,2166,7.15
552,7621,7.15
553,2636,7.15
554,1855,7.15
555,6645,7.15
556,4986,7.16
557,13862,7.14
558,9902,7.14
559,6709,7.15
560,7348,7.15
561,1558,7.14
562,1845,7.15
563,3522,7.14
564,4696,7.14
565,4483,7.14
566,7711,7.14
567,5688,7.15
568,5897,7.14
569,10551,7.12
570,769,7.12
571,4331,7.14
572,4444,7.13
573,5780,7.14
574,543,7.13
575,2882,7.14
576,1223,7.14
577,6554,7.13
578,2940,7.12
579,3907,7.13
580,2455,7.14
581,3580,7.13
582,8165,7.13
583,3889,7.13
584,1175,7.13
585,7169,7.13
586,6179,7.11
587,2995,7.13
588,10377,7.11
589,3810,7.13
590,9026,7.11
591,750,7.13
592,1222,7.11
593,1632,7.11
594,3100,7.11
595,157,7.11
596,2575,7.1
597,5352,7.1
598,10616,7.1
599,1763,7.11
600,2139,7.1
601,7522,7.1
602,3336,7.1
603,4991,7.1
604,1056,7.1
605,6109,7.1
606,3106,7.1
607,3399,7.1
608,4980,7.13
609,1871,7.1
610,8321,7.1
611,4066,7.1
612,5613,7.1
613,4294,7.1
614,4447,7.11
615,8695,7.11
616,2415,7.11
617,1764,7.11
618,11111,7.11
619,4579,7.1
620,6841,7.11
621,11077,7.1
622,3826,7.11
623,746,7.11
624,2144,7.11
625,4636,7.11
626,5031,7.11
627,5459,7.11
628,790,7.11
629,2539,7.11
630,3713,7.11
631,5103,7.11
632,3860,7.11
633,6068,7.11
634,5895,7.11
635,6527,7.11
636,7752,7.11
637,3630,7.09
638,5317,7.11
639,1133,7.09
640,8320,7.09
641,6632,7.09
642,4937,7.11
643,6994,7.08
644,3913,7.11
645,5124,7.09
646,1266,7.11
647,3072,7.11
648,9152,7.08
649,4661,7.08
650,2546,7.08
651,2464,7.08
652,2214,7.08
653,4527,7.08
654,6585,7.08
655,8456,7.08
656,6463,7.08
657,7614,7.08
658,69,7.08
659,10916,7.08
660,190,7.07
661,7214,7.08
662,7486,7.07
663,9485,7.06
664,2986,7.07
665,3312,7.06
666,7666,7.07
667,6231,7.06
668,9645,7.06
669,7132,7.05
670,2494,7.05
671,3402,7.05
672,6229,7.05
673,7339,7.06
674,749,7.05
675,4537,7.04
676,8515,7.06
677,2573,7.04
678,5057,7.04
679,8437,7.02
680,1176,7.02
681,5309,7.08
682,1768,7.05
683,44,7.03
684,2928,7.02
685,6784,7.03
686,1681,7.03
687,7178,7.03
688,4087,7.03
689,7270,7.02
690,4452,7.03
691,5945,7.03
692,3185,7.03
693,4318,7.02
694,7008,7.03
695,8672,7.03
696,4765,7.03
697,1624,7.03
698,846,7.03
699,5700,7.03
700,7000,7.03
701,2045,7.03
702,6214,7.03
703,10235,7.03
704,8172,7.03
705,1378,7.03
706,6207,7.03
707,10403,7.03
708,9847,7.03
709,2899,7.03
710,7197,7.03
711,8840,7.03
712,778,7.05
713,954,7.07
714,4840,7.03
715,2946,7.03
716,3647,7.03
717,2110,7.03
718,4201,7.03
719,9674,7.03
720,3056,7.03
721,3895,7.03
722,5358,7.03
723,9092,7.03
724,5368,7.03
725,8078,7.04
726,4400,7.04
727,3050,7.04
728,3417,7.03
729,978,7.04
730,7346,7.04
731,2496,7.04
732,9938,7.04
733,1415,7.04
734,2876,7.04
735,7206,7.04
736,2280,7.04
737,7180,7.03
738,9487,7.04
739,3432,7.01
740,4839,7.04
741,1140,7.04
742,1761,7.03
743,7889,7.04
744,5570,7.0
745,2624,7.02
746,11631,7.02
747,5001,7.01
748,3995,6.99
749,2093,6.99
750,12921,6.99
751,3080,6.99
752,4604,6.97
753,5854,7.0
754,4264,7.0
755,6954,7.04
756,2009,6.97
757,4545,6.99
758,6780,7.02
759,3709,6.98
760,6836,6.99
761,6785,6.98
762,7364,6.98
763,9948,6.98
764,4089,6.97
765,6324,6.98
766,5330,6.98
767,4242,6.98
768,5453,6.98
769,4912,6.98
770,10836,6.96
771,2157,6.96
772,11994,6.96
773,7539,6.98
774,5076,6.97
775,6826,6.95
776,5918,6.95
777,11108,6.96
778,8983,6.96
779,8624,6.97
780,6499,6.95
781,3559,6.98
782,1315,6.95
783,3837,6.95
784,1842,6.95
785,512,6.95
786,5174,6.95
787,6355,6.94
788,1397,6.95
789,1317,6.94
790,8212,6.95
791,4498,6.94
792,1584,6.93
793,4460,6.93
794,6450,6.96
795,2206,6.92
796,2797,6.9
797,6168,6.93
798,8687,6.91
799,1666,6.95
800,2935,6.92
801,9499,6.95
802,7135,6.91
803,3611,6.92
804,7885,6.88
805,1563,6.88
806,2004,6.88
807,6270,6.88
808,7363,6.87
809,6367,6.89
810,2711,6.89
811,2012,6.92
812,1299,6.87
813,2499,6.89
814,3711,6.87
815,2794,6.86
816,10081,6.92
817,6558,6.86
818,9578,6.86
819,3658,6.86
820,6710,6.86
821,3148,6.87
822,7166,6.86
823,8474,6.86
824,3679,6.86
825,6503,6.86
826,3099,6.86
827,3811,6.87
828,1929,6.86
829,2860,6.85
830,817,6.86
831,1252,6.85
832,4418,6.86
833,4396,6.84
834,13600,6.84
835,5520,6.84
836,7797,6.85
837,1772,6.84
838,10352,6.86
839,5585,6.85
840,2022,6.82
841,10205,6.82
842,869,6.86
843,10311,6.82
844,9810,6.83
845,8615,6.83
846,3885,6.83
847,8407,6.83
848,3809,6.83
849,9339,6.83
